,,,,,,,,,,,
,,,,ANGLES,,,JUNCTIONS,,,,ACCESSORIES
,"Stick-on
body join
1
2","Cover joint
t",End cap,"Internal
angles(2)
80° 100°","External
angles
85° 120°",Flat angles,"Flat
junctions
with width
80 mm
2
1","Flat
junctions
with width
105 mm
2
1","Angled
junctions
85/105/
130 mm","Junction
with floor
duct
50 x 12/
92 x 20","Extra
cover"
,,,,,,,,,,,
,0756 66,0756 69,0756 11,0756 21,0756 31,0756 41,0756 71,-,"0756 81
+ 0756 21",0756 88,0756 08
,0756 67,0756 69,0756 12,0756 22,0756 32,0756 42,0756 72,0756 76,"0756 81
+ 0756 22",0756 88,0756 08
,0756 66,2 x 0756 69,0756 13,0756 23,0756 33,0756 43,0756 71,0756 75,"0756 81
+ 0756 23",0756 88,0756 08
,"1 0756 6
+
2 0756 6","6
2 x 0756 69
7",0756 14,0756 24,0756 34,0756 44,"1 0756 71
+
2 0756 72","1 0756 75
+
2 0756 76","0756 81
+ 0756 24",0756 88,0756 08
,0756 66,3 x 0756 69,0756 16,0756 26,0756 36,0756 46,0756 71,0756 75,"0756 81
+ 0756 26",0756 88,0756 08
