Description,Cat. No.,"M.R.P.
(`)
Per Unit"
Cartridge for AUSP021PN15,AUSC021PN15,2350
Cartridge for AUSP021PN40,AUSC021PN40,2930
"Cartridge for
AUSP021PN70 / AUSP023PN70",AUSC021PN70,3130
Cartridge for AUSP023PN15,AUSC023PN15,3075
Cartridge for AUSP023PN40,AUSC023PN40,3910
"Cartridge for
AUSP121PN100 / AUSP123PN100",AUSC121PN100,4690
"Cartridge for
AUSP121PN50 / AUSP123PN50",AUSC121PN50,5065
