,Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"4174 40
4174 41
4174 42
4174 43
4174 48","For MPX³ 32S with
CTX³ mini AC",572,2
,,"For MPX³ 32S with
CTX³ mini DC",572,2
,,"For MPX³ 32H/32MA
with CTX³ mini AC",572,2
,,"For MPX³ 32H/32MA
with CTX³ mini DC",572,2
,,"For MPX³ 32S with
CTX³ 22 AC",684,2
