"Snap-on trunking 50 x 80
1 - compartment","1324
1686
2318
2992
3294",20(1)
"Snap-on trunking 50 x 105
1 - compartment",,12(1)
"Snap-on trunking 50 x 130
2 - compartments",,12(1)
"Snap-on trunking 50 x 145
2 - compartments",,8(1)
"Snap-on trunking 50 x 180
3 - compartments",,8(1)
