DMX SP 2500,630 A,"6695 48
6695 49
6695 50
6695 51
6695 52
6695 53
6695 80",114708,"1
1
1
1
1
1
1",6695 54,159776,1
,800 A,,114708,,6695 55,159776,1
,1000 A,,122900,,6695 56,172068,1
,1250 A,,145434,,6695 57,200740,1
,1600 A,,168880,,6695 58,221156,1
,2000 A,,202248,,6695 59,265700,1
,2500 A,,256090,,6695 81,297618,1
