Description,Model,Cat. No.,"M.R.P.
(`)
Per Unit"
2 Steps Plug-in Module,2 Relays NO,ETACONEXP2R,2400
3 Steps Plug-in Module,3 Relays NO,ETACONEXP3R,3500
RS485 Plug-in Module,RS485 Plug-in Module,ETACONRS485,12000
