"4164 86
4168 50
4168 55",,Cat.Nos,"Max. opt.
current
AC 1","Max. opt.
current
AC 3","Control
voltage",,"MRP*
` /
Unit",,Pack
,,"4168 58
4168 59
4168 49","For CTX³ 3P Form 9 A
to 150 A (AC-3)
1 NO + 1 NC - Ith:
16 A",,,868,,10,
,,,"For CTX³ 3P Form
185 A to 800 A (AC-3)
and CTX³ 4P from 165
A to 900 A (AC-1)
1 NO + 1 NC - Ith: 16 A",,,868,,10,
,,,"For CTX³ 4P From
40 A to 135 A (AC-1)
1 NO + 1 NC - Ith:
16 A",,,868,,10,
