,Cat.Nos,Description,"MRP*
` /
Unit",Pack
,"0324 21
0324 22
0324 23
0324 24
0324 25
0324 31
0324 32
0324 33
0324 34
0324 35","6 LC Duplex - 6 LC Duplex
Length 10 (m)","








",1
,,"6 LC Duplex - 6 LC Duplex
Length 20 (m)",,1
,,"6 LC Duplex - 6 LC Duplex
Length 30 (m)",,1
,,"6 LC Duplex - 6 LC Duplex
Length 40 (m)",,1
,,"6 LC Duplex - 6 LC Duplex
Length 50 (m)",,1
,,"12 LC Duplex - 12 LC Duplex
Length 10 (m)",,1
,,"12 LC Duplex - 12 LC Duplex
Length 20 (m)",,1
,,"12 LC Duplex - 12 LC Duplex
Length 30 (m)",,1
,,"12 LC Duplex - 12 LC Duplex
Length 40 (m)",,1
,,"12 LC Duplex - 12 LC Duplex
Length 50 (m)",,1
