"5722 39
5734 71
5734 66
5738 88
5734 22",,,,,
,,"5734 18
5734 19
5734 20
5734 07
5734 08
5734 09","Combi twin USB charger
3.1A type A & A with Euro
Socket - 2 module","2238
2610
3394
3680
3368
4648",1/10/100
,,,"Combi twin USB charger
3.1A type A & C with Euro
Socket - 2 module",,1/10/100
,,,"Combi twin USB charger
3.1A type C & C with Euro
Socket - 2 module",,1/10/100
,,,"Combi twin USB
CHARGER 3.1A Type A
& C with Multistandard
Socket - 3 Module",,1/5/20
,,,"Gang Unit-6 A
Multistandard Switched
socket with USB 3100mA
type A-2M",,1/10
,,,"Gang Unit-6 A
Multistandard Switched
socket with USB 3100mA
type A + C-4M",,1/5/20
