Description,Cat. No.,"M.R.P.
(`)
Per Unit"
"3Ph, 4W TVM 110V ( L-L) 1 A Class 0.5s BM",WR300BB1200,25754
"3Ph, 4W TVM 110V ( L-L) 5 A Class 0.5s BM",WR300BB5200,25754
"3Ph, 4W TVM 240V ( L-N) 5 A Class 0.5s BM",WR300BC5200,23735
"3Ph, 4W TVM 110V ( L-L) 1 A Class 0.5s BM RS 485 Modbus",WR300BB12RS,30905
"3Ph, 4W TVM 110V ( L-L) 5 A Class 0.5s BM RS 485 Modbus#",WR300BB52RS,30905
"3Ph, 4W TVM 240V ( L-N) 5 A Cl 0.5s BM RS 485 Modbus",WR300BC52RS,28482
