"4173 20
4173 21
4173 22
4173 23
4173 24
4173 25
4173 26
4173 27
4173 28
4173 29
4173 30
4173 31",0.02,"0.1 to
0.16",2.1,4868,1
,0.06,"0.16 to
0.25",3.3,4868,1
,0.09,"0.25 to
0.4",5.2,4868,1
,0.12,"0.4 to
0.63",8.2,5336,1
,"0.18 /
0.25","0.63
to 1",13,5336,1
,"0.37/
0.55",1 to 1.6,20.8,5336,1
,0.75,"1.6 to
2.5",32.5,5336,1
,1.5,2.5 to 4,52,5502,1
,2.2,4 to 6,78,5526,1
,3,5 to 8,104,5972,1
,4,6 to 10,130,6028,1
,5.5,9 to 13,169,6622,1
