Description,Cat. No.,"M.R.P.
(`)
Per Unit"
"3Ph, 4W TVM 110V ( L-L) 1 A Class 0.2s BM",WR300BB1100,62485
"3Ph, 4W TVM 110V ( L-L) 5 A Class 0.2s BM",WR300BB5100,62485
"3Ph, 4W TVM 110V ( L-L) 1 A Class 0.2s BM RS485 Modbus",WR300BB11RS,66657
"3Ph, 4W TVM 110V ( L-L) 5 A Class 0.2s BM RS485 Modbus",WR300BB51RS,66657
