Description,Cat. No.,"M.R.P.
(`)
Per Unit"
Protection Releases [8538],,
Microprocessor based type SR71,On Request,
Microprocessor based type SR18Gi+D,SL94813OOOO,55450
Microprocessor based type SR18G+D,SL94812OOOO,53950
Microprocessor based type SR18G,SL96030OOOO,40950
Thermal-Magnetic Release type DN1,SL93152OOOO,35450
Universal Test Kit,CL90462OOOO,100320
