Description,Cat. No.,"M.R.P.
(`)
Per Unit"
1Ph LED Ammeter Cl 1,WL111010OOOO,925
1Ph LED Voltmeter Cl 1,WL112010OOOO,925
3Ph LED Ammeter Cl 1,WL131010OOOO,1395
3Ph LED Voltmeter Cl 1,WL132010OOOO,1395
LED Freq meter Cl 0.2,WL113040OOOO,925
1Ph LED Ammeter Cl 0.5,WL111020OOOO,1245
1Ph LED Voltmeter Cl 0.5,WL112020OOOO,1245
3Ph LED Ammeter Cl 0.5,WL131020OOOO,1680
3Ph LED Voltmeter Cl 0.5,WL132020OOOO,1680
