"0287 56
0286 96
0287 96",Type and frame size,"Rated
Current (A)",3P,,,4P,,
,,,Cat.Nos,MRP*/ ` /Unit,Pack,Cat.Nos,MRP*/ `/Unit,Pack
,"DMX³-I 2500
Frame - 1",1250 A,"0287 83
0287 84
0287 85
0287 86",,"1
1
1
1",0287 93,"


",1
,,1600 A,,,,0287 94,,1
,,2000 A,,,,0287 95,,1
,,2500 A,,,,0287 96,,1
,"DMX³-I 4000
Frame - 2",3200 A,"0287 87
0287 88",,"1
1",0287 97,"
",1
,,4000 A,,,,0287 98,,1
,DMX³-I 6300 Frame - 3,6300 A,0289 77,,1,0289 78,,1
